1	217
2	1728
3	4760
4	-3
5	97
6	266
7	1680
8	-3
9	14280
10	-326
11	137
12	17640
13	251
14	-52
15	46
16	3370
17	-56
18	633
19	-1
20	-30
21	59
22	-217
23	883
24	-33
25	-67
26	-120
27	107
28	221
29	1350
30	3280
31	28400
32	-7
33	-5
34	-32
35	203
36	33600
37	360
38	-10
39	-193
40	274
41	131
42	4959
43	-78
44	-5
45	75
46	-69
47	-4224
48	47
49	390
50	-591
51	7
52	32
53	2086
54	364
55	1086
56	20
57	87
58	10
59	46
60	1032
61	145
62	3
63	8
64	-11
65	2025
66	-24
67	4875
68	-40
69	52
70	12
71	-29
72	45
73	6
74	-119
75	-16
76	-70
77	-255
78	44
79	30
80	-14
81	-135
82	-23
83	149
84	-17
85	-8
86	-24
87	126
88	307
89	11
90	-3104
91	-146
92	11
93	16
94	-9
95	268
96	187
97	1170
98	16
99	-17
100	84
